block name,point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9
5712A,"1349.3303260809926, 485.75735138910625","1349.3303260813918, 523.9981815081414","1058.2437027466513, 523.9981815081414","1058.243702746252, 485.75735138910625","1349.3303260809926, 485.75735138910625"
5712B,"1349.330326081515, 521.4755352763176","1604.4868558534758, 521.4755352763177","1604.486855853475, 523.9981814974658","1612.3537306503238, 523.9981814975137","1612.3537306580834, 485.75735139322126","1349.3303260809926, 485.75735138910625"
5732A,"1872.4749004089767, 485.7573513958413","1872.4749004086702, 522.224867808625","2094.2787287291894, 522.224867808625","2094.2787287295564, 485.75735139807523","1872.4749004089767, 485.75735139621247"
5712C,"1612.3537306503238, 523.9981814975137","1829.206195595283, 523.9981814975135","1829.206195595668, 485.7573513954054","1612.3537306580834, 485.75735139322126","1612.3537306580836, 523.9981814975137"
5721B,"2202.7039914932684, 727.8345746239573","2238.671952883974, 727.8345746239573","2238.671952883974, 522.2248678086253","2202.7039915028654, 522.2248678086253","2202.7039915028654, 727.8345746239573"
5721A,"2238.671952883974, 727.8345746239573","2238.6719528753074, 881.4049267126741","2202.7039914867255, 881.4049267126741","2202.7039914867255, 727.8345746239573","2238.671952883974, 727.8345746261809"
5703C,"2120.0382389451397, 906.386114824319","2238.6719528753074, 906.386114824319","2238.6719528753074, 881.404926712674","2120.0382389451397, 881.404926712674"
5703B,"1988.6351104460962, 906.3861148086263","1988.6351104670282, 881.4049267010917","2120.0382388948437, 881.4049267077039","2120.0382389451397, 906.386114824319","1988.6351104460962, 906.3861148086263"
5703A,"1982.1504504709826, 833.4814265877567","1982.1504504719146, 881.4049267001537","1988.6351104670282, 881.4049267010917","1988.6351104664889, 906.3861148164727","1817.1410132247306, 906.3861148127698","1817.1410132247306, 879.5860984684696","1940.9371613758944, 879.5860984645983","1940.9371613758944, 833.4814265877569","1982.1504504709826, 833.4814265877567"
5702A,"1677.9214436873199, 906.3861148123656","1791.6771374569246, 906.3861147900101","1791.6771374569246, 879.5860984675676","1677.9214436878985, 879.5860984899232","1677.9214436873199, 906.3861148123656"
5717A,"1719.13473277983, 693.101307278761","1677.9214436766556, 693.1013072768816","1677.921443713304, 879.5860984899232","1719.1347327713252, 879.5860984768805","1719.13473277983, 693.101307274623"
5717B,"1677.9214436766556, 693.1013072768816","1719.13473277983, 693.101307278761","1719.13473277983, 523.9981814975137","1677.9214436673888, 523.9981815108185","1677.9214436766556, 693.1013072768816"
5714A,"1567.6219755980514, 521.4755352783104","1567.6219755980514, 833.6209889137755","1604.4868558515905, 833.6209889139998","1604.4868558534758, 521.4755352763177","1567.6219755980514, 521.4755352762212"
5701C,"1559.4052872145166, 906.3789591159461","1604.4868558511466, 906.5620695102116","1604.4868558515905, 833.6209889139998","1567.6219755980514, 833.6209889139998","1567.6219755971201, 877.7852163269272","1559.4052872119878, 877.7518421318333","1559.4052872145166, 906.3789591159461"
5719A,"1940.9371613758944, 833.4814265877569","1940.9371613785083, 522.2248678092001","1982.1504504649297, 522.2248678040778","1982.1504504709826, 833.4814265877567","1940.9371613744527, 833.4814265890457"
5701B,"1559.4052872119878, 877.7518421318333","1417.077659586774, 877.7518421220883","1417.0776595961343, 905.8008588236042","1559.4052872081106, 906.3789591159461"
5701A,"1417.0776595936563, 877.7518421220883","1417.0776595961343, 905.8008588236042","1300.008805227207, 905.8008588236042","1300.008805227207, 833.8297370983848","1344.5706594575054, 833.8297370983848","1344.5706594545723, 876.8792359969665","1413.2594746208147, 877.1582332938997","1417.0776595936038, 877.1582332935623","1417.0776595961343, 905.8008588236042"
5713A,"1300.008805227207, 833.8297370983848","1300.0088051884763, 523.9981815084902","1344.5706594786147, 523.9981815081414","1344.5706594575054, 833.8297370983848","1300.008805227207, 833.8297371039552"
5723B,"2312.1065407337887, 485.75735140026904","2312.1065407379665, 688.5748566360771","2349.073612142915, 688.5748566359789","2349.0736121449577, 485.75735140064137","2312.1065407337887, 485.75735140140284"
5723A,"2312.1065407379665, 688.5748566360771","2312.1065407411725, 844.2439956661856","2349.073612143329, 844.2439956660874","2349.073612142915, 688.5748566360771","2312.1065407379665, 688.5748566368385"
5704A,"2621.602531444822, 906.5620695211854","2621.602531444954, 875.3976962353413","2428.4215837112956, 875.3976962353413","2428.4215837068837, 906.5620695276097","2621.602531441409, 906.5620695369186"
5727A,"2574.622703374024, 524.9724204266531","2574.622703362904, 875.3976962441666","2616.3355475022786, 875.397696235319","2616.335547506203, 485.75735140333325","2574.6227033739706, 485.75735140333325","2574.6227033737277, 524.9724204266531"
5704B,"2621.602531441409, 906.5620695211854","2779.761711848975, 906.5620695211854","2779.761711849106, 875.3976962360091","2621.602531442911, 875.3976962283878","2621.602531444822, 906.5620695369186"
5729A,"2616.33554750332, 771.9898012230259","2751.202490598671, 771.9898012230259","2751.199644860834, 752.771413788957","2616.3355475153185, 752.7714138042124","2616.3355475153185, 771.9898012230259"
